0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:52 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1440
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:52 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 1535
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:52 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 1905
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:52 +0700] "GET /api/v1/showtime HTTP/1.1" 200 733 37136
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:52 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 61642
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:52 +0700] "GET /api/v1/showtime HTTP/1.1" 200 733 37164
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:53 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 37538
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:53 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 105689
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:53 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 77192
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:57:13 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 876
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:57:13 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 1087
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:57:13 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 1048
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:57:13 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1097
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:57:13 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 2254
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:57:13 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 2794
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:57:13 +0700] "GET /api/v1/showtime HTTP/1.1" 200 733 32570
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:57:13 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 48770
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:57:13 +0700] "GET /api/v1/showtime HTTP/1.1" 200 733 24440
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:57:13 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 36607
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:57:13 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 92989
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:57:14 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 136958
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:57:23 +0700] "OPTIONS /api/v1/rooms/cinema/1 HTTP/1.1" 200 - 5227
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:57:23 +0700] "GET /api/v1/rooms/cinema/1 HTTP/1.1" 200 345 26675
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:57:34 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1424
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:57:34 +0700] "POST /api/v1/showtime HTTP/1.1" 201 379 761807
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:57:34 +0700] "GET /api/v1/showtime HTTP/1.1" 200 996 22423
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:58:22 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1261
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:58:22 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 754
