0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:57 +0700] "GET /api/v1/seats/room/1 HTTP/1.1" 200 13308 55634
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:57 +0700] "GET /api/v1/seats/room/1 HTTP/1.1" 200 13308 45721
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:59:13 +0700] "OPTIONS /api/v1/seats/room/5 HTTP/1.1" 200 - 1928
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:59:13 +0700] "OPTIONS /api/v1/seats/room/5 HTTP/1.1" 200 - 1990
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:59:14 +0700] "GET /api/v1/seats/room/5 HTTP/1.1" 200 14116 65459
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:59:14 +0700] "GET /api/v1/seats/room/5 HTTP/1.1" 200 14116 79616
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:59:19 +0700] "OPTIONS /api/v1/seats/240 HTTP/1.1" 200 - 2133
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:59:19 +0700] "PUT /api/v1/seats/240 HTTP/1.1" 200 236 83645
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:59:22 +0700] "OPTIONS /api/v1/seats/room/5 HTTP/1.1" 200 - 2065
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:59:22 +0700] "OPTIONS /api/v1/seats/room/5 HTTP/1.1" 200 - 2129
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:59:22 +0700] "GET /api/v1/seats/room/5 HTTP/1.1" 200 14112 30713
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:59:22 +0700] "GET /api/v1/seats/room/5 HTTP/1.1" 200 14113 32331
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:59:27 +0700] "OPTIONS /api/v1/seats/239 HTTP/1.1" 200 - 1882
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:59:27 +0700] "DELETE /api/v1/seats/239 HTTP/1.1" 200 114 41636
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:59:29 +0700] "OPTIONS /api/v1/seats/238 HTTP/1.1" 200 - 1657
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:59:29 +0700] "DELETE /api/v1/seats/238 HTTP/1.1" 200 114 27094
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:59:38 +0700] "OPTIONS /api/v1/seats/237 HTTP/1.1" 200 - 1827
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:59:38 +0700] "PUT /api/v1/seats/237 HTTP/1.1" 200 237 35228
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:59:43 +0700] "OPTIONS /api/v1/seats HTTP/1.1" 200 - 1455
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:59:43 +0700] "POST /api/v1/seats HTTP/1.1" 201 239 57901
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:25 +0700] "OPTIONS /api/v1/seats HTTP/1.1" 200 - 1449
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:25 +0700] "POST /api/v1/seats HTTP/1.1" 201 239 34321
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:27 +0700] "POST /api/v1/seats HTTP/1.1" 201 239 31187
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:34 +0700] "OPTIONS /api/v1/seats/243 HTTP/1.1" 200 - 1744
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:34 +0700] "DELETE /api/v1/seats/243 HTTP/1.1" 200 114 22902
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:35 +0700] "OPTIONS /api/v1/seats/242 HTTP/1.1" 200 - 1553
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:35 +0700] "DELETE /api/v1/seats/242 HTTP/1.1" 200 114 23760
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:46 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1776
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:46 +0700] "OPTIONS /api/v1/movies HTTP/1.1" 200 - 1277
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:46 +0700] "OPTIONS /api/v1/movies HTTP/1.1" 200 - 969
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:46 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 1202
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:46 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1384
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:46 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 3337
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:46 +0700] "GET /api/v1/showtime HTTP/1.1" 200 470 19401
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:46 +0700] "GET /api/v1/showtime HTTP/1.1" 200 470 17260
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:46 +0700] "GET /api/v1/movies HTTP/1.1" 200 5366 50651
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:46 +0700] "GET /api/v1/movies HTTP/1.1" 200 5366 38177
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:46 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 88250
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:46 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 94998
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:52 +0700] "OPTIONS /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 - 1402
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:52 +0700] "OPTIONS /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 - 1120
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:52 +0700] "GET /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 1354 48485
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:00:53 +0700] "GET /api/v1/users?page=0&size=10&sortBy=createdAt&sortDir=desc HTTP/1.1" 200 1354 27882
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:19 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 200 2823 9539
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:19 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 200 2823 7472
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:19 +0700] "GET /api/v1/movies?page=0&size=12&sort=id,desc HTTP/1.1" 200 6191 49069
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:19 +0700] "GET /api/v1/movies?page=0&size=12&sort=id,desc HTTP/1.1" 200 6191 40550
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:20 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 200 2823 11468
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:20 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 200 2823 15908
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:21 +0700] "GET /api/v1/movies?page=0&size=12&sort=id,desc HTTP/1.1" 200 6191 40017
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:21 +0700] "GET /api/v1/movies?page=0&size=12&sort=id,desc HTTP/1.1" 200 6191 36243
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:28 +0700] "OPTIONS /api/v1/auth/login HTTP/1.1" 200 - 944
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:28 +0700] "POST /api/v1/auth/login HTTP/1.1" 200 877 213790
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:34 +0700] "OPTIONS /api/v1/cinema-clusters/all HTTP/1.1" 200 - 1247
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:34 +0700] "OPTIONS /api/v1/cinema-clusters/all HTTP/1.1" 200 - 1720
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:34 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 200 2823 21751
0:0:0:0:0:0:0:1 - - [06/Nov/2025:13:01:34 +0700] "OPTIONS /api/v1/cinemas/cluster/1 HTTP/1.1" 200 - 1188
